                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2709,                0.69425,                0.97868,                0.96684,                0.83333,                0.89993,                0.55339,                  1.265,                0.69599,                0.89235,             0.00082775,             0.00082775,             0.00082775
                     37,                 1.0756,                0.60235,                0.98398,                0.95147,                0.81269,                0.90697,                0.54533,                 1.2803,                 0.7088,                0.87701,             0.00081006,             0.00081006,             0.00081006
                     38,                 1.0471,                0.59897,                0.95446,                0.83082,                 0.8332,                0.84482,                0.46687,                 1.6911,                0.92976,                0.94897,             0.00079238,             0.00079238,             0.00079238
                     39,                 1.0488,                0.58349,                0.97912,                0.92472,                0.83333,                0.89252,                0.53552,                 1.3241,                0.72598,                0.89917,              0.0007747,              0.0007747,              0.0007747
                     40,                 1.0239,                0.55496,                0.95551,                0.96932,                0.83333,                0.88166,                0.54217,                 1.3452,                0.65252,                0.91796,             0.00075701,             0.00075701,             0.00075701
                     41,                 1.0733,                0.58696,                 1.0217,                0.95192,                0.82987,                0.89041,                 0.5518,                 1.2739,                0.60273,                0.89443,             0.00073933,             0.00073933,             0.00073933
                     42,                 1.0427,                0.57252,                0.97572,                0.94148,                0.82702,                0.87665,                0.58401,                 1.0189,                0.57318,                0.85825,             0.00072164,             0.00072164,             0.00072164
                     43,                 1.0626,                 0.6332,                0.98068,                0.90606,                 0.9539,                0.96176,                0.63566,                 1.0894,                 0.6205,                0.90585,             0.00070396,             0.00070396,             0.00070396
                     44,                0.99437,                0.56298,                0.95026,                0.90535,                0.91387,                0.95936,                0.63432,                 1.0359,                0.54579,                0.84875,             0.00068628,             0.00068628,             0.00068628
                     45,                0.99678,                0.55618,                 0.9631,                0.89085,                0.95906,                0.96217,                0.65559,                 1.0157,                 0.5195,                0.84344,             0.00066859,             0.00066859,             0.00066859
                     46,                 1.0155,                0.54978,                 0.9761,                0.89042,                0.96418,                 0.9639,                 0.6286,                 1.0493,                0.59015,                0.87869,             0.00065091,             0.00065091,             0.00065091
                     47,                 1.0165,                0.55791,                0.97809,                0.88744,                0.96473,                0.96402,                0.66641,                 1.0334,                0.57145,                0.84697,             0.00063323,             0.00063323,             0.00063323
                     48,                0.98333,                0.53994,                0.94537,                0.87504,                0.95856,                0.96114,                0.57452,                 1.2068,                0.64242,                0.85579,             0.00061554,             0.00061554,             0.00061554
                     49,                0.98561,                0.59147,                0.93459,                0.87622,                0.95952,                0.96061,                0.58412,                 1.2198,                0.63679,                 0.8662,             0.00059786,             0.00059786,             0.00059786
                     50,                 0.9905,                0.54645,                0.97009,                0.90769,                0.95942,                0.96339,                0.61672,                 1.1425,                0.55403,                0.88059,             0.00058017,             0.00058017,             0.00058017
                     51,                 1.0479,                   0.54,                0.97104,                0.98105,                0.84999,                0.94422,                0.65653,                 1.0648,                0.52367,                  0.871,             0.00056249,             0.00056249,             0.00056249
                     52,                0.98405,                0.54412,                0.89969,                0.91413,                0.92665,                0.96285,                0.61906,                 1.2318,                0.56384,                0.92152,             0.00054481,             0.00054481,             0.00054481
                     53,                 1.0476,                0.56574,                 0.9955,                0.88608,                0.93734,                0.96045,                0.63452,                 1.0973,                0.53018,                0.90218,             0.00052712,             0.00052712,             0.00052712
                     54,                 1.0729,                0.55016,                0.94323,                0.98061,                0.83333,                0.91306,                0.59702,                 1.0848,                0.50663,                0.88208,             0.00050944,             0.00050944,             0.00050944
                     55,                 1.0175,                0.52951,                0.94867,                0.97492,                0.83333,                0.86372,                0.65667,                0.97947,                0.54005,                0.88082,             0.00049175,             0.00049175,             0.00049175
                     56,                0.93961,                0.52349,                0.92061,                0.91941,                0.83755,                0.88178,                0.62722,                 1.0709,                 0.5488,                0.88119,             0.00047407,             0.00047407,             0.00047407
                     57,                0.93149,                0.50299,                0.92549,                0.91932,                0.84579,                0.87956,                 0.6414,                 1.0642,                0.54593,                0.87428,             0.00045639,             0.00045639,             0.00045639
                     58,                0.94217,                0.52333,                0.94444,                0.90203,                0.88889,                0.88169,                0.60932,                 1.0932,                0.56906,                0.87266,              0.0004387,              0.0004387,              0.0004387
                     59,                0.92094,                0.51176,                0.91628,                0.90192,                0.88889,                0.90279,                0.63906,                 1.0683,                0.57357,                 0.8572,             0.00042102,             0.00042102,             0.00042102
                     60,                0.89477,                0.47898,                0.91165,                0.93882,                0.83333,                0.91482,                0.68437,                 1.0202,                0.53233,                0.84804,             0.00040334,             0.00040334,             0.00040334
                     61,                0.90691,                0.48364,                0.93406,                0.95641,                0.83333,                0.90645,                0.66837,                0.97884,                0.52655,                0.84895,             0.00038565,             0.00038565,             0.00038565
                     62,                0.94968,                0.51012,                0.92061,                0.96676,                0.83333,                0.89192,                0.62419,                 1.0181,                0.52862,                0.85661,             0.00036797,             0.00036797,             0.00036797
